# The `test/api` rows the Rust cdylib is known to fail — the allowlist behind
# `gtest_stretch.sh --check` (Phase 8b session A, T8b.A1).
#
#   format:  <gtest full test name> | <owner> | <reason>
#   blank lines and `#` comments ignored; the name must be the *full* name gtest
#   prints, parametrized instances spelled out one per row (`.../0`, `/1`, `/2`).
#
# `--check` fails when a failing test is NOT here (a regression, or a new failure
# nobody owns) and when a listed test PASSES (a stale row — a lie about coverage).
# The tally therefore moves only by editing this file in the same commit as the fix.
#
# Owners are the phase/session that will make the row pass. Rows are grouped by the
# *assertion site* they fail at (S47: a fixture name is a surface), which is stated
# in each group's header and re-measured by `--check`'s own by-site tally.

# --- decoder_ec_test.cpp:746 — LTR recovery must yield an IDR ----------------
# T8b.A3 fixed `Engine_SVC_Switch_I` and moved `_P`'s first failure from the
# TEMPORAL_ID read at `:789` to the LTR one at `:746`
# (`ASSERT_TRUE (info.eFrameType == videoFrameTypeIDR)` under
# `IDR_RECOVERY_REQUEST`) — the same assertion as `ltr_test.cpp:39` below.
EncodeDecodeTestAPI.Engine_SVC_Switch_P | 8b.A | LTR recovery request does not produce an IDR (decoder_ec_test.cpp:746)

# --- ltr_test.cpp:39 — ForceIntraFrame with LTR on must give an IDR ----------
# **These three are non-deterministic.** `test/api`'s main seeds `rand()` from
# `time(NULL)` (`simple_test.cpp:20-24`) and this fixture draws its temporal-layer
# count and IDR interval from it, so which instances fail moves run to run; the
# family fails, the instance does not. Re-run with `--seed=N` to pin one.
EncodeDecodeTestAPIBase/EncodeDecodeTestAPI.GetOptionLTR_ALLIDR/0 | 8b.A | LTR + ForceIntraFrame: the next frame is not reported IDR (rand-dependent instance)
EncodeDecodeTestAPIBase/EncodeDecodeTestAPI.GetOptionLTR_ALLIDR/1 | 8b.A | LTR + ForceIntraFrame: the next frame is not reported IDR (rand-dependent instance)
EncodeDecodeTestAPIBase/EncodeDecodeTestAPI.GetOptionLTR_ALLIDR/2 | 8b.A | LTR + ForceIntraFrame: the next frame is not reported IDR (rand-dependent instance)

# --- encode_options_test.cpp:556/656/705/772/844/911 — listing strategies ----
# `CreateParametersetStrategy` returns None for the three listing modes and
# `InitializeExt` refuses (the S48 shape, already right); ~310 C++ lines to port.
EncodeDecodeTestAPI.ParameterSetStrategy_SPS_LISTING_AND_PPS_INCREASING1 | 8b.B | SPS_LISTING_AND_PPS_INCREASING strategy not ported; InitializeExt refuses
EncodeDecodeTestAPI.ParameterSetStrategy_SPS_LISTING_AND_PPS_INCREASING2 | 8b.B | SPS_LISTING_AND_PPS_INCREASING strategy not ported; InitializeExt refuses
EncodeDecodeTestAPI.ParameterSetStrategy_SPS_LISTING_AND_PPS_INCREASING3 | 8b.B | SPS_LISTING_AND_PPS_INCREASING strategy not ported; InitializeExt refuses
EncodeDecodeTestAPI.ParameterSetStrategy_SPS_PPS_LISTING1 | 8b.B | SPS_PPS_LISTING strategy not ported; InitializeExt refuses
EncodeDecodeTestAPI.ParameterSetStrategy_SPS_PPS_LISTING2 | 8b.B | SPS_PPS_LISTING strategy not ported; InitializeExt refuses
EncodeDecodeTestAPI.ParameterSetStrategy_SPS_PPS_LISTING3 | 8b.B | SPS_PPS_LISTING strategy not ported; InitializeExt refuses

# --- decode_api_test.cpp:923/1001/1048 — parse-only DecodeParser -------------
